Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Cherry Hill School of Performing Arts (82960),4-Year,2011,33,<10,<10,<10,30,3.03%,90.91%
Cherry Hill School of Performing Arts (82960),5-Year,2010,128,92,<10,<10,35,71.88%,27.34%
Cherry Hill School of Performing Arts (82960),6-Year,2009,84,59,<10,<10,25,70.24%,29.76%
Clara B. Ford Academy (SDA) (82996),4-Year,2011,53,<10,<10,19,31,5.66%,58.49%
Clara B. Ford Academy (SDA) (82996),5-Year,2010,35,<10,<10,<10,34,0.00%,97.14%
Clara B. Ford Academy (SDA) (82996),6-Year,2009,29,<10,<10,<10,23,20.69%,79.31%
Covenant House Academy Detroit (82991),4-Year,2011,161,22,<10,69,70,13.66%,43.48%
Covenant House Academy Detroit (82991),5-Year,2010,198,26,<10,42,130,13.13%,65.66%
Covenant House Academy Detroit (82991),6-Year,2009,223,37,<10,24,161,16.59%,72.20%
Covenant House Academy East (82990),4-Year,2011,122,<10,<10,49,65,6.56%,53.28%
Covenant House Academy East (82990),5-Year,2010,148,22,<10,37,89,14.86%,60.14%
Covenant House Academy East (82990),6-Year,2009,218,55,<10,12,151,25.23%,69.27%
Covenant House Academy Southwest (82989),4-Year,2011,130,<10,<10,38,91,0.77%,70.00%
Covenant House Academy Southwest (82989),5-Year,2010,148,14,<10,24,110,9.46%,74.32%
Covenant House Academy Southwest (82989),6-Year,2009,168,20,<10,11,137,11.90%,81.55%
Detroit Academy of Arts and Sciences (82929),4-Year,2011,165,121,<10,<10,35,73.33%,21.21%
Detroit Academy of Arts and Sciences (82929),5-Year,2010,149,112,<10,<10,36,75.17%,24.16%
Detroit Academy of Arts and Sciences (82929),6-Year,2009,180,141,<10,<10,39,78.33%,21.67%
Detroit Community Schools (82925),4-Year,2011,135,111,<10,<10,22,82.22%,16.30%
Detroit Community Schools (82925),5-Year,2010,112,94,<10,<10,17,83.93%,15.18%
Detroit Community Schools (82925),6-Year,2009,134,108,<10,<10,25,80.60%,18.66%
Detroit Midtown Academy (82964),4-Year,2011,72,52,<10,<10,12,72.22%,16.67%
Detroit Midtown Academy (82964),5-Year,2010,71,59,<10,<10,10,83.10%,14.08%
Detroit Midtown Academy (82964),6-Year,2009,77,59,<10,<10,18,76.62%,23.38%
Frontier International Academy (82987),4-Year,2011,49,45,<10,<10,<10,91.84%,6.12%
Frontier International Academy (82987),5-Year,2010,42,42,<10,<10,<10,100.00%,0.00%
Frontier International Academy (82987),6-Year,2009,35,29,<10,<10,<10,82.86%,17.14%
George Crockett Academy (82937),4-Year,2011,<10,<10,<10,<10,<10,83.33%,16.67%
George Crockett Academy (82937),5-Year,2010,10,10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),6-Year,2009,10,10,<10,<10,<10,100.00%,0.00%
HEART Academy (82927),4-Year,2011,45,32,<10,<10,10,71.11%,22.22%
HEART Academy (82927),5-Year,2010,30,29,<10,<10,<10,96.67%,3.33%
HEART Academy (82927),6-Year,2009,30,26,<10,<10,<10,86.67%,13.33%
Henry Ford Academy (82926),4-Year,2011,108,85,<10,<10,14,78.70%,12.96%
Henry Ford Academy (82926),5-Year,2010,117,104,<10,<10,12,88.89%,10.26%
Henry Ford Academy (82926),6-Year,2009,104,99,<10,<10,<10,95.19%,4.81%
Hope of Detroit Academy (82957),4-Year,2011,<10,<10,<10,<10,<10,71.43%,14.29%
Hope of Detroit Academy (82957),5-Year,2010,10,<10,<10,<10,<10,90.00%,10.00%
Hope of Detroit Academy (82957),6-Year,2009,16,12,<10,<10,<10,75.00%,25.00%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2011,56,<10,<10,<10,52,3.57%,92.86%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2010,126,11,<10,<10,110,8.73%,87.30%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2009,208,38,<10,<10,165,18.27%,79.33%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2011,45,42,<10,<10,<10,93.33%,2.22%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2010,45,38,<10,<10,<10,84.44%,13.33%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2009,86,74,<10,<10,12,86.05%,13.95%
McGivney Academy (SDA) (82721),4-Year,2011,12,<10,<10,<10,<10,0.00%,33.33%
McGivney Academy (SDA) (82721),5-Year,2010,<10,<10,<10,<10,<10,0.00%,66.67%
Michigan Health Academy (82917),4-Year,2011,53,47,<10,<10,<10,88.68%,9.43%
Michigan Health Academy (82917),5-Year,2010,39,32,<10,<10,<10,82.05%,17.95%
Michigan Health Academy (82917),6-Year,2009,37,32,<10,<10,<10,86.49%,13.51%
Michigan Technical Academy (82907),5-Year,2010,90,67,<10,<10,22,74.44%,24.44%
Michigan Technical Academy (82907),6-Year,2009,65,52,<10,<10,13,80.00%,20.00%
Oakland International Academy (63912),4-Year,2011,25,19,<10,<10,<10,76.00%,8.00%
Oakland International Academy (63912),5-Year,2010,29,24,<10,<10,<10,82.76%,17.24%
Oakland International Academy (63912),6-Year,2009,20,19,<10,<10,<10,95.00%,5.00%
Old Redford Academy (82956),4-Year,2011,152,130,<10,<10,11,85.53%,7.24%
Old Redford Academy (82956),5-Year,2010,129,115,<10,<10,13,89.15%,10.08%
Old Redford Academy (82956),6-Year,2009,109,93,<10,<10,16,85.32%,14.68%
Riverside Academy (82975),4-Year,2011,56,41,<10,<10,<10,73.21%,10.71%
Riverside Academy (82975),5-Year,2010,38,33,<10,<10,<10,86.84%,10.53%
Riverside Academy (82975),6-Year,2009,23,21,<10,<10,<10,91.30%,8.70%
Ross-Hill Academy (82948),4-Year,2011,19,14,<10,<10,<10,73.68%,15.79%
Ross-Hill Academy (82948),5-Year,2010,24,22,<10,<10,<10,91.67%,8.33%
Ross-Hill Academy (82948),6-Year,2009,22,14,<10,<10,<10,63.64%,31.82%
Star International Academy (82941),4-Year,2011,82,72,<10,<10,<10,87.80%,10.98%
Star International Academy (82941),5-Year,2010,60,49,<10,<10,11,81.67%,18.33%
Star International Academy (82941),6-Year,2009,50,48,<10,<10,<10,96.00%,4.00%
Summit Academy North (82938),4-Year,2011,103,95,<10,<10,<10,92.23%,4.85%
Summit Academy North (82938),5-Year,2010,109,101,<10,<10,<10,92.66%,6.42%
Summit Academy North (82938),6-Year,2009,102,84,<10,<10,17,82.35%,16.67%
Trillium Academy (82973),4-Year,2011,46,37,<10,<10,<10,80.43%,2.17%
Trillium Academy (82973),5-Year,2010,33,29,<10,<10,<10,87.88%,6.06%
Trillium Academy (82973),6-Year,2009,23,20,<10,<10,<10,86.96%,13.04%
Universal Academy (82950),4-Year,2011,33,32,<10,<10,<10,96.97%,3.03%
Universal Academy (82950),5-Year,2010,24,22,<10,<10,<10,91.67%,8.33%
Universal Academy (82950),6-Year,2009,31,28,<10,<10,<10,90.32%,9.68%
University Preparatory Academy (PSAD) (82702),4-Year,2011,121,115,<10,<10,<10,95.04%,0.00%
University Preparatory Academy (PSAD) (82702),5-Year,2010,118,113,<10,<10,<10,95.76%,2.54%
University Preparatory Academy (PSAD) (82702),6-Year,2009,128,124,<10,<10,<10,96.88%,3.13%
Vista Meadows Academy (82716),4-Year,2011,22,10,<10,<10,<10,45.45%,27.27%
Vista Meadows Academy (82716),5-Year,2010,17,<10,<10,<10,<10,47.06%,29.41%
Vista Meadows Academy (82716),6-Year,2009,<10,<10,<10,<10,<10,12.50%,75.00%
Voyageur Academy (82940),4-Year,2011,99,89,<10,<10,<10,89.90%,7.07%
Voyageur Academy (82940),5-Year,2010,80,76,<10,<10,<10,95.00%,5.00%
Voyageur Academy (82940),6-Year,2009,75,63,<10,<10,12,84.00%,16.00%
Weston Preparatory Academy (82943),5-Year,2010,57,46,<10,<10,11,80.70%,19.30%
Weston Preparatory Academy (82943),6-Year,2009,53,45,<10,<10,<10,84.91%,15.09%
Wayne RESA - District created from ISD (82000),4-Year,2011,<10,<10,<10,<10,<10,N/A,100.00%
Wayne RESA - District created from ISD (82000),5-Year,2010,11,<10,<10,<10,11,N/A,100.00%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
