id,SchoolYear,BuildingCode,BuildingName,DistrictCode,DistrictName,ISDCode,ISDName,EntityType,Status,SCHOOL_EMPHASIS,SETTING,ADDRESS_LINE_1,CITY,STATE,ZIP_CODE,SCHOOL_TYPE,SCHOOL_LEVEL,LOCALE_NAME,COUNTY_NAME,CurrentAccreditationStatus,ContactEmail,Latitude,Longitude,Location
4651,13 - 14 School Year,2151,Haggerty School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,Special Education,Multiple Settings,13770 HAGGERTY RD,BELLEVILLE,MI,48111,Special Education,Other,Not Specified,Wayne,Not Accredited,RROSS@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"13770 HAGGERTY RD
BELLEVILLE, MI 48111
(42.20264820300048, -83.43930753399968)"
4648,13 - 14 School Year,263,Owen Intermediate School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,45201 OWEN ST,BELLEVILLE,MI,48111,General Education,Elem_Middle School,Suburb: Large,Wayne,NCA Accredited,JMOORE@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"45201 OWEN ST
BELLEVILLE, MI 48111
(42.19713961800045, -83.48302129299964)"
4881,13 - 14 School Year,0,Keystone Academy,82976,Keystone Academy,82,Wayne RESA,PSA District,Open-Active,,,47925 BEMIS RD,BELLEVILLE,MI,48111,,Elem_Middle School,Suburb: Large,Wayne,N/A,46.KGODFREY@HERITAGEACADEMIES.COM,42.20543404,-83.4863161,"47925 BEMIS RD
BELLEVILLE, MI 48111
(42.17503146500047, -83.50637955399964)"
4656,13 - 14 School Year,8882,Early Childhood Development Center--ECDC,82430,Van Buren,82,Wayne RESA,LEA Unique Education Provider,Open-Active,Reportable Program,Multiple Settings,123 SOUTH EDGEMONT ST,BELLEVILLE,MI,48111,Reportable Program,Other,Suburb: Large,Wayne,Not Accredited,SFLEMING@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"123 SOUTH EDGEMONT ST
BELLEVILLE, MI 48111
(42.20697737100045, -83.47430559499963)"
4655,13 - 14 School Year,6827,Savage Road Elementary School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,42975 SAVAGE RD,BELLEVILLE,MI,48111,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,KVILLA@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"42975 SAVAGE RD
BELLEVILLE, MI 48111
(42.20056257300047, -83.46230707999968)"
4650,13 - 14 School Year,1071,Edgemont Elementary School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,125 EDGEMONT ST,BELLEVILLE,MI,48111,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,DCRIPPEN@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"125 EDGEMONT ST
BELLEVILLE, MI 48111
(42.2119669490005, -83.47449878899965)"
4649,13 - 14 School Year,264,Belleville High School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,501 WEST COLUMBIA AVE,BELLEVILLE,MI,48111,General Education,High School,Suburb: Large,Wayne,NCA Accredited,AMADYUN@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"501 WEST COLUMBIA AVE
BELLEVILLE, MI 48111
(42.20334302900045, -83.49387153499964)"
4321,13 - 14 School Year,3383,Salina Intermediate 4 - 8,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,2623 SALINA ST,DEARBORN,MI,48120,General Education,Elem_Middle School,City: Small,Wayne,NCA Accredited,LAWERAJ@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"2623 SALINA ST
DEARBORN, MI 48120
(42.30565937400047, -83.14738551799968)"
4335,13 - 14 School Year,9251,Salina Elementary P - 3,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,2700 FERNEY ST,DEARBORN,MI,48120,General Education,Elementary,City: Small,Wayne,NCA Accredited,STANLES@DEARBORNSCHOOLS.ORG,42.32207206,-83.17628924,"2700 FERNEY ST
DEARBORN, MI 48120
(42.30583920300046, -83.15000458399965)"
4805,13 - 14 School Year,8471,Henry Ford Academy,82926,Henry Ford Academy,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,P.O. Box 1148,Dearborn,MI,48121,General Education,High School,City: Small,Wayne,NCA Accredited,CCHRISTMAS@HFA.SPFS.K12.MI.US,42.32207206,-83.17628924,"P.O. Box 1148
Dearborn, MI 48121
(42.31037935600045, -83.19051931199965)"
4804,13 - 14 School Year,0,Henry Ford Academy,82926,Henry Ford Academy,82,Wayne RESA,PSA District,Open-Active,,,P.O. Box 1148,Dearborn,MI,48121,,High School,City: Small,Wayne,N/A,CCHRISTMAS@HFA.SPFS.K12.MI.US,42.32207206,-83.17628924,"P.O. Box 1148
Dearborn, MI 48121
(42.31037935600045, -83.19051931199965)"
4350,13 - 14 School Year,0,Melvindale-North Allen Park Schools,82045,Melvindale-N. Allen Park,82,Wayne RESA,LEA District,Open-Active,,,18530 PROSPECT ST,MELVINDALE,MI,48122,,Elem thru High School,Suburb: Large,Wayne,N/A,GUTENSS@MELNAP.K12.MI.US,42.2821402,-83.17677605,"18530 PROSPECT ST
MELVINDALE, MI 48122
(42.27945930900046, -83.18584586499964)"
4352,13 - 14 School Year,2507,Melvindale High School,82045,Melvindale-N. Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,18656 PROSPECT ST,MELVINDALE,MI,48122,General Education,High School,Suburb: Large,Wayne,NCA Accredited,LUPPINS@MELNAP.K12.MI.US,42.2821402,-83.17677605,"18656 PROSPECT ST
MELVINDALE, MI 48122
(42.27920251900048, -83.18606326999964)"
4354,13 - 14 School Year,9520,Allendale Elementary School,82045,Melvindale-N. Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,3201 OAKWOOD BLVD,MELVINDALE,MI,48122,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,BATEMAR@MELNAP.K12.MI.US,42.2821402,-83.17677605,"3201 OAKWOOD BLVD
MELVINDALE, MI 48122
(42.2818285890005, -83.17801422399964)"
4790,13 - 14 School Year,0,Academy for Business and Technology,82921,Academy for Business and Technology,82,Wayne RESA,PSA District,Open-Active,,,19625 WOOD ST,MELVINDALE,MI,48122,,Elem thru High School,Suburb: Large,Wayne,N/A,DELORES.JONES-BELL@LEONAGROUP.COM,42.2821402,-83.17677605,"19625 WOOD ST
MELVINDALE, MI 48122
(42.27496276000045, -83.19605910899963)"
4791,13 - 14 School Year,8435,Academy for Business and Technology High School,82921,Academy for Business and Technology,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,19625 WOOD ST,MELVINDALE,MI,48122,General Education,Middle_High School,Suburb: Large,Wayne,NCA Accredited,DELORES.JONES-BELL@LEONAGROUP.COM,42.2821402,-83.17677605,"19625 WOOD ST
MELVINDALE, MI 48122
(42.27496276000045, -83.19605910899963)"
4351,13 - 14 School Year,1979,Julian O. Strong Middle School,82045,Melvindale-N. Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,3303 OAKWOOD BLVD,MELVINDALE,MI,48122,General Education,Middle School,Suburb: Large,Wayne,NCA Accredited,FISHD@MELNAP.K12.MI.US,42.2821402,-83.17677605,"3303 OAKWOOD BLVD
MELVINDALE, MI 48122
(42.281612924000456, -83.17893447899968)"
4312,13 - 14 School Year,1657,Henry Ford Collegiate Academy - Dearborn High School,82030,Dearborn,82,Wayne RESA,LEA School,Closed,General Education,Multiple Settings,19501 OUTER DR,DEARBORN,MI,48124,General Education,High School,Not Specified,Wayne,Not Accredited,SHENKMG@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"19501 OUTER DR
DEARBORN, MI 48124
(42.30529922900047, -83.26330340099963)"
4300,13 - 14 School Year,0,Dearborn City School District,82030,Dearborn,82,Wayne RESA,LEA District,Open-Active,,,18700 AUDETTE ST,DEARBORN,MI,48124,,Elem thru High School,City: Small,Wayne,N/A,WHISTOB@DEARBORNSCHOOLS.ORG,42.32207206,-83.17628924,"18700 AUDETTE ST
DEARBORN, MI 48124
(42.283315996000454, -83.22681870199966)"
4325,13 - 14 School Year,4541,Nowlin Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,23600 PENN ST,DEARBORN,MI,48124,General Education,Elementary,City: Small,Wayne,NCA Accredited,RAUCHR@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"23600 PENN ST
DEARBORN, MI 48124
(42.28550648400045, -83.26550080199968)"
4327,13 - 14 School Year,5396,Long Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,3100 WESTWOOD ST,DEARBORN,MI,48124,General Education,Elementary,City: Small,Wayne,NCA Accredited,JAKUBUV@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"3100 WESTWOOD ST
DEARBORN, MI 48124
(42.28876859400049, -83.28064754699966)"
4855,13 - 14 School Year,0,West Village Academy,82959,West Village,82,Wayne RESA,PSA District,Open-Active,,,3530 WESTWOOD ST,DEARBORN,MI,48124,,Elem_Middle School,City: Small,Wayne,N/A,DONITAWHITE29@YAHOO.COM,42.32207206,-83.17628924,"3530 WESTWOOD ST
DEARBORN, MI 48124
(42.28461807500048, -83.28048737999967)"
4318,13 - 14 School Year,2793,Smith Middle School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,23851 YALE ST,DEARBORN,MI,48124,General Education,Middle School,City: Small,Wayne,NCA Accredited,CHARLED@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"23851 YALE ST
DEARBORN, MI 48124
(42.288551965000465, -83.26907978999964)"
4306,13 - 14 School Year,977,Duvall Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,22561 BEECH ST,DEARBORN,MI,48124,General Education,Elementary,City: Small,Wayne,NCA Accredited,HARTLED@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"22561 BEECH ST
DEARBORN, MI 48124
(42.30054261000049, -83.25070319999963)"
4322,13 - 14 School Year,4088,Stout Middle School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,18500 OAKWOOD BLVD,DEARBORN,MI,48124,General Education,Middle School,City: Small,Wayne,NCA Accredited,OKEG@DEARBORNSCHOOLS.ORG,42.32207206,-83.17628924,"18500 OAKWOOD BLVD
DEARBORN, MI 48124
(42.29351836800049, -83.21594723799967)"
4330,13 - 14 School Year,6384,Howe Trainable Center and Montessori,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,18000 OAKWOOD BLVD,DEARBORN,MI,48124,General Education,Elem thru High School,City: Small,Wayne,NCA Accredited,TYNANJ@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"18000 OAKWOOD BLVD
DEARBORN, MI 48124
(42.291574880000496, -83.21091682799965)"
4323,13 - 14 School Year,4514,Whitmore-Bolles Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,21501 WHITMORE ST,DEARBORN,MI,48124,General Education,Elementary,City: Small,Wayne,NCA Accredited,WADDELK@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"21501 WHITMORE ST
DEARBORN, MI 48124
(42.28947148600048, -83.24844933599968)"
4304,13 - 14 School Year,886,Dearborn High School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,19501 OUTER DR,DEARBORN,MI,48124,General Education,High School,City: Small,Wayne,NCA Accredited,BAUGHMC@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"19501 OUTER DR
DEARBORN, MI 48124
(42.30529922900047, -83.26330340099963)"
4307,13 - 14 School Year,1092,Edsel Ford High School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,20601 ROTUNDA DR,DEARBORN,MI,48124,General Education,High School,City: Small,Wayne,NCA Accredited,CASEBOS@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"20601 ROTUNDA DR
DEARBORN, MI 48124
(42.29038178900049, -83.23965051199968)"
4311,13 - 14 School Year,1656,Henry Ford Collegiate Academy - Edsel Ford High School,82030,Dearborn,82,Wayne RESA,LEA School,Closed,General Education,Multiple Settings,20601 ROTUNDA DR,DEARBORN,MI,48124,General Education,High School,Not Specified,Wayne,Not Accredited,SHENKMG@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"20601 ROTUNDA DR
DEARBORN, MI 48124
(42.29038178900049, -83.23965051199968)"
4570,13 - 14 School Year,9767,Westwood Alternative Education,82240,Westwood,82,Wayne RESA,LEA School,Open-Active,Alternative Education,AltEd,23810 MICHIGAN AVE,DEARBORN,MI,48124,Alternative Education,High School,City: Small,Wayne,Not Accredited,PATTERSONV@WWSCHOOLS.NET,42.32207206,-83.17628924,"23810 MICHIGAN AVE
DEARBORN, MI 48124
(42.30062672600047, -83.26885739899967)"
4305,13 - 14 School Year,954,Snow Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,2000 CULVER AVE,DEARBORN,MI,48124,General Education,Elementary,City: Small,Wayne,NCA Accredited,GROOVER@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"2000 CULVER AVE
DEARBORN, MI 48124
(42.28733976400048, -83.22242505099968)"
4856,13 - 14 School Year,8733,West Village Academy,82959,West Village,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,3530 WESTWOOD ST,DEARBORN,MI,48124,General Education,Elem_Middle School,City: Small,Wayne,Not Accredited,DWHITE@WESTVILLAGEACADEMY.ORG,42.32207206,-83.17628924,"3530 WESTWOOD ST
DEARBORN, MI 48124
(42.28461807500048, -83.28048737999967)"
4346,13 - 14 School Year,2810,Oakley W. Best Middle School,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,22201 POWERS AVE,DEARBORN HEIGHTS,MI,48125,General Education,Middle School,Suburb: Large,Wayne,NCA Accredited,ZNAMIEJO@D7.K12.MI.US,42.33056222,-83.27747884,"22201 POWERS AVE
DEARBORN HEIGHTS, MI 48125
(42.27318759700046, -83.25331387299968)"
4349,13 - 14 School Year,5357,Polk Elementary School,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,4651 POLK ST,DEARBORN HEIGHTS,MI,48125,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,BRENTOMA@D7.K12.MI.US,42.33056222,-83.27747884,"4651 POLK ST
DEARBORN HEIGHTS, MI 48125
(42.276575548000494, -83.23982092299968)"
4348,13 - 14 School Year,4950,Annapolis High School,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,4650 CLIPPERT ST,DEARBORN HEIGHTS,MI,48125,General Education,High School,Suburb: Large,Wayne,NCA Accredited,SCOTTDA@D7.K12.MI.US,42.33056222,-83.27747884,"4650 CLIPPERT ST
DEARBORN HEIGHTS, MI 48125
(42.27516821100045, -83.24608715799968)"
4345,13 - 14 School Year,2286,Madison Elementary,82040,Dearborn Heights #7,82,Wayne RESA,LEA Unique Education Provider,Open-Active,General Education,Pre-K,4950 Madison,Dearborn Heights,MI,48125,General Education,Other,Not Specified,Wayne,Not Accredited,BARTOLJE@D7.K12.MI.US,42.33056222,-83.27747884,"4950 Madison
Dearborn Heights, MI 48125
(42.27418460400048, -83.26545075999968)"
4564,13 - 14 School Year,335,Westwood New Tech High School,82240,Westwood,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,3601 Janet,Dearborn Heights,MI,48125,General Education,High School,Suburb: Large,Wayne,Not Accredited,WALLACER1@WWSCHOOLS.NET,42.33056222,-83.27747884,"3601 Janet
Dearborn Heights, MI 48125
(42.28398368800049, -83.28755054099963)"
4344,13 - 14 School Year,430,Dearborn Heights Virtual Academy,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,20629 Annapolis,Dearborn Heights,MI,48125,General Education,High School,Suburb: Large,Wayne,Not Accredited,MILLERLY@D7.K12.MI.US,42.33056222,-83.27747884,"20629 Annapolis
Dearborn Heights, MI 48125
(42.27690049500046, -83.23904911499966)"
4343,13 - 14 School Year,249,Bedford School,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,4650 CROISSANT ST,DEARBORN HEIGHTS,MI,48125,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,ALLENBRA@D7.K12.MI.US,42.33056222,-83.27747884,"4650 CROISSANT ST
DEARBORN HEIGHTS, MI 48125
(42.27680592600046, -83.22414186699967)"
4347,13 - 14 School Year,2943,Pardee School,82040,Dearborn Heights #7,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,4650 PARDEE AVE,DEARBORN HEIGHTS,MI,48125,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,MURPHYWI@D7.K12.MI.US,42.33056222,-83.27747884,"4650 PARDEE AVE
DEARBORN HEIGHTS, MI 48125
(42.27628322700048, -83.25584766799966)"
4569,13 - 14 School Year,9642,Westwood Pre-School,82240,Westwood,82,Wayne RESA,LEA Unique Education Provider,Open-Active,General Education,Multiple Settings,25251 ANNAPOLIS ST,DEARBORN HEIGHTS,MI,48125,General Education,Other,Suburb: Large,Wayne,Not Accredited,CHARTIERS@WWSCHOOLS.NET,42.33056222,-83.27747884,"25251 ANNAPOLIS ST
DEARBORN HEIGHTS, MI 48125
(42.27598964300046, -83.28326755799964)"
4342,13 - 14 School Year,0,Dearborn Heights School District #7,82040,Dearborn Heights #7,82,Wayne RESA,LEA District,Open-Active,,,20629 ANNAPOLIS ST,DEARBORN HEIGHTS,MI,48125,,Elem thru High School,Suburb: Large,Wayne,N/A,BARTOLJE@D7.K12.MI.US,42.33056222,-83.27747884,"20629 ANNAPOLIS ST
DEARBORN HEIGHTS, MI 48125
(42.27690049500046, -83.23904911499966)"
4563,13 - 14 School Year,0,Westwood Community School District,82240,Westwood,82,Wayne RESA,LEA District,Open-Active,,,3335 SOUTH BEECH DALY ST,DEARBORN HEIGHTS,MI,48125,,Elem thru High School,Suburb: Large,Wayne,N/A,CARNELLS@WWSCHOOLS.NET,42.33056222,-83.27747884,"3335 SOUTH BEECH DALY ST
DEARBORN HEIGHTS, MI 48125
(42.28649975100046, -83.29010317099966)"
4567,13 - 14 School Year,4177,Thorne Elementary School,82240,Westwood,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,25251 ANNAPOLIS ST,DEARBORN HEIGHTS,MI,48125,General Education,Elem_Middle School,Suburb: Large,Wayne,Not Accredited,SIMMONSL@WWSCHOOLS.NET,42.33056222,-83.27747884,"25251 ANNAPOLIS ST
DEARBORN HEIGHTS, MI 48125
(42.27598964300046, -83.28326755799964)"
4566,13 - 14 School Year,3238,Robichaud Senior High School,82240,Westwood,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,3601 JANET ST,DEARBORN HEIGHTS,MI,48125,General Education,High School,Suburb: Large,Wayne,NCA Accredited,KONRADJ@WWSCHOOLS.NET,42.33056222,-83.27747884,"3601 JANET ST
DEARBORN HEIGHTS, MI 48125
(42.28398368800049, -83.28755054099963)"
4333,13 - 14 School Year,7818,Iris Becker Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,10821 HENSON ST,DEARBORN,MI,48126,General Education,Elementary,City: Small,Wayne,NCA Accredited,HIGGIND@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"10821 HENSON ST
DEARBORN, MI 48126
(42.34057257900048, -83.16592716499969)"
4329,13 - 14 School Year,5850,Lowrey Middle School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,6601 JONATHON ST,DEARBORN,MI,48126,General Education,Middle School,City: Small,Wayne,NCA Accredited,YOUNESR@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"6601 JONATHON ST
DEARBORN, MI 48126
(42.339527760000465, -83.17302788199964)"
4121,13 - 14 School Year,9910,Advanced Technology Academy,63914,Advanced Technology Academy,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,4801 OAKMAN BLVD,DEARBORN,MI,48126,General Education,Elem thru High School,City: Small,Wayne,NCA Accredited,CANDERSEN@ATAFORDPAS.ORG,42.32207206,-83.17628924,"4801 OAKMAN BLVD
DEARBORN, MI 48126
(42.323653925000485, -83.16786565899969)"
4315,13 - 14 School Year,2356,Maples Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,6801 MEAD ST,DEARBORN,MI,48126,General Education,Elementary,City: Small,Wayne,NCA Accredited,FARAJF@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"6801 MEAD ST
DEARBORN, MI 48126
(42.3408574930005, -83.19085713899966)"
4316,13 - 14 School Year,2460,McDonald Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,10151 DIVERSEY ST,DEARBORN,MI,48126,General Education,Elementary,City: Small,Wayne,NCA Accredited,BIOLETA@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"10151 DIVERSEY ST
DEARBORN, MI 48126
(42.348061559000485, -83.15903918099968)"
4309,13 - 14 School Year,1635,Henry Ford Elementary School,82030,Dearborn,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,16140 DRISCOLL ST,DEARBORN,MI,48126,General Education,Elementary,City: Small,Wayne,NCA Accredited,MOUGHNA@DEARBORN.K12.MI.US,42.32207206,-83.17628924,"16140 DRISCOLL ST
DEARBORN, MI 48126
(42.31677710800045, -83.20177155199968)"
4880,13 - 14 School Year,9844,Riverside Academy - Pre-K,82975,Riverside Academy,82,Wayne RESA,PSA Unique Education Provider,Open-Active,General Education,Multiple Settings,7050 PINEHURST ST,DEARBORN,MI,48126,General Education,Elementary,Suburb: Large,Wayne,Not Accredited,ROBINSONC@GEE-EDU.COM,42.32207206,-83.17628924,"7050 PINEHURST ST
DEARBORN, MI 48126
(42.34322082300048, -83.16456321999965)"
4879,13 - 14 School Year,9604,Riverside Academy - West Campus,82975,Riverside Academy,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,6409 SCHAEFER RD,DEARBORN,MI,48126,General Education,Middle_High School,City: Small,Wayne,Not Accredited,SAABR@RIVERSIDE-ACADEMY.NET,42.32207206,-83.17628924,"6409 SCHAEFER RD
DEARBORN, MI 48126
(42.33682796400046, -83.17654810299967)"
